Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,170,4,Some Random Commen with Id 0
1,0,5,24,8,Some Random Commen with Id 1
2,0,5,187,8,Some Random Commen with Id 2
3,2,6,192,3,Some Random Commen with Id 3
4,2,6,134,0,Some Random Commen with Id 4
5,2,6,106,8,Some Random Commen with Id 5
6,2,6,171,6,Some Random Commen with Id 6
7,2,6,108,3,Some Random Commen with Id 7
8,3,0,62,3,Some Random Commen with Id 8
9,3,0,88,8,Some Random Commen with Id 9
10,3,0,53,9,Some Random Commen with Id 10
11,3,0,192,3,Some Random Commen with Id 11
12,3,0,107,4,Some Random Commen with Id 12
13,4,2,20,8,Some Random Commen with Id 13
14,4,2,62,1,Some Random Commen with Id 14
15,4,2,28,3,Some Random Commen with Id 15
16,4,2,139,3,Some Random Commen with Id 16
17,4,2,103,4,Some Random Commen with Id 17
18,5,1,65,2,Some Random Commen with Id 18
19,5,1,133,3,Some Random Commen with Id 19
20,5,1,60,4,Some Random Commen with Id 20
21,5,1,14,4,Some Random Commen with Id 21
22,5,1,199,1,Some Random Commen with Id 22
23,5,1,101,0,Some Random Commen with Id 23
24,5,1,179,7,Some Random Commen with Id 24
25,5,1,61,0,Some Random Commen with Id 25
26,5,1,1,2,Some Random Commen with Id 26
27,6,2,63,6,Some Random Commen with Id 27
28,6,2,79,1,Some Random Commen with Id 28
29,6,2,50,5,Some Random Commen with Id 29
30,6,2,146,7,Some Random Commen with Id 30
31,7,2,91,8,Some Random Commen with Id 31
32,8,2,100,4,Some Random Commen with Id 32
33,8,2,28,9,Some Random Commen with Id 33
34,8,2,113,5,Some Random Commen with Id 34
35,8,2,194,8,Some Random Commen with Id 35
36,8,2,176,4,Some Random Commen with Id 36
37,8,2,123,2,Some Random Commen with Id 37
38,8,2,45,4,Some Random Commen with Id 38
39,8,2,162,4,Some Random Commen with Id 39
40,10,4,148,3,Some Random Commen with Id 40
41,10,4,100,5,Some Random Commen with Id 41
42,11,2,17,6,Some Random Commen with Id 42
43,11,2,92,8,Some Random Commen with Id 43
44,11,2,141,9,Some Random Commen with Id 44
45,11,2,35,0,Some Random Commen with Id 45
46,11,2,50,2,Some Random Commen with Id 46
47,12,4,60,5,Some Random Commen with Id 47
48,12,4,20,0,Some Random Commen with Id 48
49,12,4,3,2,Some Random Commen with Id 49
50,12,4,170,7,Some Random Commen with Id 50
51,12,4,107,6,Some Random Commen with Id 51
52,13,7,85,7,Some Random Commen with Id 52
53,13,7,31,1,Some Random Commen with Id 53
54,13,7,134,6,Some Random Commen with Id 54
55,13,7,162,4,Some Random Commen with Id 55
56,13,7,21,0,Some Random Commen with Id 56
57,14,2,50,8,Some Random Commen with Id 57
58,14,2,190,3,Some Random Commen with Id 58
59,14,2,106,1,Some Random Commen with Id 59
60,14,2,8,3,Some Random Commen with Id 60
61,14,2,15,7,Some Random Commen with Id 61
62,15,5,124,7,Some Random Commen with Id 62
63,15,5,145,2,Some Random Commen with Id 63
64,16,0,122,5,Some Random Commen with Id 64
65,16,0,102,0,Some Random Commen with Id 65
66,16,0,93,7,Some Random Commen with Id 66
67,17,0,91,8,Some Random Commen with Id 67
68,17,0,13,9,Some Random Commen with Id 68
69,17,0,27,7,Some Random Commen with Id 69
70,17,0,181,9,Some Random Commen with Id 70
71,17,0,2,2,Some Random Commen with Id 71
72,17,0,95,8,Some Random Commen with Id 72
73,17,0,85,2,Some Random Commen with Id 73
74,17,0,16,1,Some Random Commen with Id 74
75,18,3,196,8,Some Random Commen with Id 75
76,18,3,102,9,Some Random Commen with Id 76
77,18,3,113,0,Some Random Commen with Id 77
78,19,1,152,2,Some Random Commen with Id 78
79,19,1,58,8,Some Random Commen with Id 79
80,19,1,50,8,Some Random Commen with Id 80
81,19,1,184,7,Some Random Commen with Id 81
82,19,1,110,4,Some Random Commen with Id 82
83,20,4,104,3,Some Random Commen with Id 83
84,20,4,178,2,Some Random Commen with Id 84
85,20,4,198,2,Some Random Commen with Id 85
86,20,4,67,8,Some Random Commen with Id 86
87,20,4,172,2,Some Random Commen with Id 87
88,20,4,23,5,Some Random Commen with Id 88
89,20,4,39,3,Some Random Commen with Id 89
90,21,6,62,3,Some Random Commen with Id 90
91,21,6,82,7,Some Random Commen with Id 91
92,21,6,77,5,Some Random Commen with Id 92
93,21,6,169,2,Some Random Commen with Id 93
94,21,6,196,9,Some Random Commen with Id 94
95,21,6,188,5,Some Random Commen with Id 95
96,21,6,44,6,Some Random Commen with Id 96
97,21,6,145,2,Some Random Commen with Id 97
98,21,6,193,1,Some Random Commen with Id 98
99,22,0,130,8,Some Random Commen with Id 99
100,22,0,133,9,Some Random Commen with Id 100
101,22,0,133,8,Some Random Commen with Id 101
102,22,0,159,0,Some Random Commen with Id 102
103,22,0,168,6,Some Random Commen with Id 103
104,22,0,104,0,Some Random Commen with Id 104
105,22,0,115,5,Some Random Commen with Id 105
106,23,6,25,0,Some Random Commen with Id 106
107,24,0,78,4,Some Random Commen with Id 107
108,25,8,154,7,Some Random Commen with Id 108
109,25,8,162,3,Some Random Commen with Id 109
110,25,8,130,0,Some Random Commen with Id 110
111,27,6,65,1,Some Random Commen with Id 111
112,27,6,49,4,Some Random Commen with Id 112
113,27,6,5,6,Some Random Commen with Id 113
114,27,6,4,1,Some Random Commen with Id 114
115,27,6,110,0,Some Random Commen with Id 115
116,27,6,171,5,Some Random Commen with Id 116
117,28,6,193,7,Some Random Commen with Id 117
118,28,6,25,9,Some Random Commen with Id 118
119,28,6,172,6,Some Random Commen with Id 119
120,30,8,30,9,Some Random Commen with Id 120
121,30,8,121,9,Some Random Commen with Id 121
122,30,8,163,6,Some Random Commen with Id 122
123,30,8,139,7,Some Random Commen with Id 123
124,30,8,9,6,Some Random Commen with Id 124
125,30,8,34,9,Some Random Commen with Id 125
126,30,8,173,7,Some Random Commen with Id 126
127,30,8,142,4,Some Random Commen with Id 127
128,30,8,194,0,Some Random Commen with Id 128
129,31,7,43,6,Some Random Commen with Id 129
130,31,7,25,8,Some Random Commen with Id 130
131,32,7,162,4,Some Random Commen with Id 131
132,33,6,87,2,Some Random Commen with Id 132
133,33,6,155,7,Some Random Commen with Id 133
134,33,6,65,0,Some Random Commen with Id 134
135,33,6,68,2,Some Random Commen with Id 135
136,33,6,184,7,Some Random Commen with Id 136
137,33,6,185,1,Some Random Commen with Id 137
138,33,6,150,4,Some Random Commen with Id 138
139,33,6,74,3,Some Random Commen with Id 139
140,33,6,131,9,Some Random Commen with Id 140
141,35,3,103,5,Some Random Commen with Id 141
142,35,3,148,3,Some Random Commen with Id 142
