Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,137,6,Some Random Commen with Id 0
1,0,0,187,0,Some Random Commen with Id 1
2,0,0,156,0,Some Random Commen with Id 2
3,0,0,103,2,Some Random Commen with Id 3
4,0,0,188,6,Some Random Commen with Id 4
5,0,0,75,5,Some Random Commen with Id 5
6,0,0,193,5,Some Random Commen with Id 6
7,0,0,77,2,Some Random Commen with Id 7
8,1,9,24,3,Some Random Commen with Id 8
9,2,2,84,7,Some Random Commen with Id 9
10,2,2,72,7,Some Random Commen with Id 10
11,2,2,8,1,Some Random Commen with Id 11
12,2,2,187,0,Some Random Commen with Id 12
13,4,0,116,2,Some Random Commen with Id 13
14,4,0,41,2,Some Random Commen with Id 14
15,4,0,176,0,Some Random Commen with Id 15
16,4,0,117,4,Some Random Commen with Id 16
17,4,0,113,8,Some Random Commen with Id 17
18,5,3,115,8,Some Random Commen with Id 18
19,5,3,4,1,Some Random Commen with Id 19
20,5,3,148,8,Some Random Commen with Id 20
21,5,3,132,8,Some Random Commen with Id 21
22,5,3,75,1,Some Random Commen with Id 22
23,5,3,89,7,Some Random Commen with Id 23
24,5,3,115,0,Some Random Commen with Id 24
25,6,7,110,2,Some Random Commen with Id 25
26,6,7,144,6,Some Random Commen with Id 26
27,6,7,8,5,Some Random Commen with Id 27
28,6,7,118,9,Some Random Commen with Id 28
29,6,7,33,5,Some Random Commen with Id 29
30,8,8,54,6,Some Random Commen with Id 30
31,9,6,109,0,Some Random Commen with Id 31
32,9,6,116,5,Some Random Commen with Id 32
33,9,6,61,0,Some Random Commen with Id 33
34,10,9,86,2,Some Random Commen with Id 34
35,11,5,50,4,Some Random Commen with Id 35
36,11,5,155,0,Some Random Commen with Id 36
37,12,3,49,3,Some Random Commen with Id 37
38,12,3,31,8,Some Random Commen with Id 38
39,12,3,23,7,Some Random Commen with Id 39
40,13,0,94,0,Some Random Commen with Id 40
41,13,0,177,8,Some Random Commen with Id 41
42,13,0,34,7,Some Random Commen with Id 42
43,13,0,154,9,Some Random Commen with Id 43
44,13,0,67,0,Some Random Commen with Id 44
45,13,0,140,2,Some Random Commen with Id 45
46,13,0,132,0,Some Random Commen with Id 46
47,14,6,184,3,Some Random Commen with Id 47
48,14,6,25,3,Some Random Commen with Id 48
49,14,6,20,4,Some Random Commen with Id 49
50,14,6,23,3,Some Random Commen with Id 50
51,14,6,60,8,Some Random Commen with Id 51
52,14,6,97,3,Some Random Commen with Id 52
53,14,6,126,9,Some Random Commen with Id 53
54,14,6,130,3,Some Random Commen with Id 54
55,15,9,192,7,Some Random Commen with Id 55
56,16,1,110,5,Some Random Commen with Id 56
57,16,1,191,5,Some Random Commen with Id 57
58,16,1,109,3,Some Random Commen with Id 58
59,16,1,63,7,Some Random Commen with Id 59
60,16,1,86,6,Some Random Commen with Id 60
61,17,9,54,4,Some Random Commen with Id 61
62,17,9,4,2,Some Random Commen with Id 62
63,17,9,38,4,Some Random Commen with Id 63
64,18,2,22,9,Some Random Commen with Id 64
65,18,2,73,3,Some Random Commen with Id 65
66,18,2,118,6,Some Random Commen with Id 66
67,19,7,145,9,Some Random Commen with Id 67
68,19,7,22,2,Some Random Commen with Id 68
69,19,7,14,9,Some Random Commen with Id 69
70,19,7,187,1,Some Random Commen with Id 70
71,20,4,71,3,Some Random Commen with Id 71
72,20,4,105,8,Some Random Commen with Id 72
73,20,4,176,7,Some Random Commen with Id 73
74,20,4,7,9,Some Random Commen with Id 74
75,20,4,79,5,Some Random Commen with Id 75
76,20,4,180,1,Some Random Commen with Id 76
77,20,4,145,0,Some Random Commen with Id 77
78,20,4,36,9,Some Random Commen with Id 78
79,20,4,156,3,Some Random Commen with Id 79
80,21,9,104,5,Some Random Commen with Id 80
81,21,9,191,4,Some Random Commen with Id 81
82,21,9,15,0,Some Random Commen with Id 82
83,22,0,146,7,Some Random Commen with Id 83
84,22,0,45,1,Some Random Commen with Id 84
85,22,0,130,4,Some Random Commen with Id 85
86,22,0,161,1,Some Random Commen with Id 86
87,22,0,8,9,Some Random Commen with Id 87
88,22,0,167,8,Some Random Commen with Id 88
89,23,7,187,1,Some Random Commen with Id 89
90,23,7,162,4,Some Random Commen with Id 90
91,23,7,14,7,Some Random Commen with Id 91
92,23,7,36,0,Some Random Commen with Id 92
93,23,7,115,3,Some Random Commen with Id 93
94,23,7,75,8,Some Random Commen with Id 94
95,23,7,166,3,Some Random Commen with Id 95
96,23,7,113,4,Some Random Commen with Id 96
97,24,9,58,9,Some Random Commen with Id 97
98,24,9,29,9,Some Random Commen with Id 98
99,24,9,195,0,Some Random Commen with Id 99
100,24,9,153,8,Some Random Commen with Id 100
101,24,9,164,5,Some Random Commen with Id 101
102,24,9,66,0,Some Random Commen with Id 102
103,24,9,40,3,Some Random Commen with Id 103
104,24,9,111,1,Some Random Commen with Id 104
105,24,9,117,5,Some Random Commen with Id 105
106,25,8,52,1,Some Random Commen with Id 106
107,25,8,179,1,Some Random Commen with Id 107
108,25,8,54,9,Some Random Commen with Id 108
109,25,8,170,3,Some Random Commen with Id 109
110,25,8,16,5,Some Random Commen with Id 110
111,25,8,108,3,Some Random Commen with Id 111
112,26,5,22,0,Some Random Commen with Id 112
113,26,5,15,9,Some Random Commen with Id 113
114,26,5,30,8,Some Random Commen with Id 114
115,26,5,50,6,Some Random Commen with Id 115
116,26,5,36,9,Some Random Commen with Id 116
